Data Element,Category,Purpose,Legal Basis,Storage Location,Encryption,Retention Period,Access Control,Third Parties,Data Source
patients.first_name,Personal Data (PII),Patient identification and communication,"Art. 6(1)(b) contract performance, Art. 9(2)(h) healthcare",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption,Patient lifetime + 10 years (Belgian healthcare law),RLS: business-scoped; role: dentist/assistant/admin/owner,"ElevenLabs (voice extraction), Twilio (SMS delivery)","Phone call AI, WhatsApp, web portal registration"
patients.last_name,Personal Data (PII),Patient identification and communication,"Art. 6(1)(b) contract performance, Art. 9(2)(h) healthcare",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption,Patient lifetime + 10 years (Belgian healthcare law),RLS: business-scoped; role: dentist/assistant/admin/owner,"ElevenLabs (voice extraction), Twilio (SMS delivery)","Phone call AI, WhatsApp, web portal registration"
patients.email,Personal Data (PII),Communication and authentication,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption,Patient lifetime + 10 years,RLS: business-scoped; role: dentist/assistant/admin/owner,Email delivery provider,Web portal registration
patients.phone,Personal Data (PII),Communication and appointment scheduling,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption,Patient lifetime + 10 years,RLS: business-scoped; role: dentist/assistant/admin/owner,"Twilio (SMS/calls), ElevenLabs (via Twilio relay)","Phone call, WhatsApp, web portal"
patients.date_of_birth,Personal Data (PII),Patient identification and age-appropriate treatment,"Art. 6(1)(b) contract performance, Art. 9(2)(h) healthcare",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption,Patient lifetime + 10 years,RLS: business-scoped; role: dentist/assistant/admin/owner,None,"Phone call AI, web portal"
patients.address,Personal Data (PII),Patient identification and correspondence,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption,Patient lifetime + 10 years,RLS: business-scoped; role: dentist/assistant/admin/owner,None,Web portal registration
patients.medical_history,Special Category (Health Data),Clinical decision-making and treatment planning,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption (field-level),Patient lifetime + 10 years (30 years Belgian medical retention),RLS: business-scoped; role: dentist/assistant only,None,"Phone call AI extraction, staff clinical entry"
patients.emergency_contact,Personal Data (PII),Emergency communication during treatment,"Art. 6(1)(d) vital interests, Art. 9(2)(c) vital interests",Supabase PostgreSQL (eu-central-1),AES-256 at rest + per-business application-level encryption (field-level),Patient lifetime + 10 years,RLS: business-scoped; role: dentist/assistant/admin,None,"Web portal, staff entry"
appointments.patient_id,Pseudonymised Reference,Link appointment to patient record,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; all authenticated business members,None,System-generated (foreign key)
appointments.dentist_id,Internal Reference,Assign practitioner to appointment,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; all authenticated business members,None,Staff assignment
appointments.business_id,Internal Reference,Multi-tenant data isolation,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped,None,System-generated
appointments.appointment_date,Operational Data,Scheduling and calendar management,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; all authenticated business members,None,"Phone call AI, WhatsApp, web portal"
appointments.status,Operational Data,Appointment lifecycle tracking,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; all authenticated business members,None,System/staff updates
